rhoc,M,R,Lambda,I,Mb
1.647666532663318000e+15,2.030620233458397372e+00,2.000000000000101963e+01,1.608806953809276052e+01,2.245733105195014012e+00,2.339976697327569521e+00
1.656734472361810250e+15,2.030421216706406629e+00,2.000000000000101963e+01,1.591369049207809994e+01,2.240829961560040218e+00,2.339668747015664518e+00
1.665802412060302750e+15,2.030196143735849112e+00,2.000000000000101963e+01,1.574902999008556215e+01,2.235917255647924762e+00,2.339319840546218110e+00
1.674870351758795250e+15,2.029946007879310343e+00,2.000000000000101963e+01,1.558495567640406598e+01,2.230985485980511829e+00,2.338935259299511404e+00
1.683938291457287750e+15,2.029670806999174459e+00,2.000000000000101963e+01,1.542602702795171865e+01,2.226058688551763698e+00,2.338514338084264566e+00
1.693006231155780250e+15,2.029369663384547273e+00,2.000000000000101963e+01,1.526925725192940497e+01,2.221109222274227690e+00,2.338055010298269565e+00
1.702074170854272750e+15,2.029049286942927299e+00,2.000000000000101963e+01,1.511605442567504021e+01,2.216161017838146563e+00,2.337569792944442337e+00
1.711142110552765250e+15,2.028703002918514464e+00,2.000000000000101963e+01,1.496761069556492174e+01,2.211185921593545878e+00,2.337045478482111971e+00
1.720210050251257750e+15,2.028331230962992393e+00,2.000000000000101963e+01,1.482213564908838421e+01,2.206208846868225049e+00,2.336484228219382064e+00
1.729277989949750250e+15,2.027940351725498580e+00,2.000000000000101963e+01,1.467979841874836389e+01,2.201210824745659878e+00,2.335896276537015481e+00
1.738345929648242500e+15,2.027526959207256674e+00,2.000000000000101963e+01,1.453921396524619070e+01,2.196218551886604420e+00,2.335273946975792381e+00
1.747413869346735000e+15,2.027092526842566578e+00,2.000000000000101963e+01,1.440253451736008294e+01,2.191207809745584267e+00,2.334622032715659934e+00
1.756481809045227500e+15,2.026638118725158755e+00,2.000000000000101963e+01,1.426934750818395869e+01,2.186195558877792600e+00,2.333941556725534827e+00
1.765549748743720000e+15,2.026163722930122812e+00,2.000000000000101963e+01,1.413825593928741853e+01,2.181171009869993682e+00,2.333232382193437093e+00
1.774617688442212500e+15,2.025667232512335936e+00,2.000000000000101963e+01,1.401124204474888657e+01,2.176149234039740143e+00,2.332488243083987722e+00
1.783685628140705000e+15,2.025155823061159932e+00,2.000000000000101963e+01,1.388651073848827089e+01,2.171127162487532569e+00,2.331724493912064489e+00
1.792753567839197500e+15,2.024621882068668999e+00,2.000000000000101963e+01,1.376432257471920906e+01,2.166083808141145539e+00,2.330927544225827042e+00
1.801821507537690000e+15,2.024068342251924335e+00,2.000000000000101963e+01,1.364262838875449724e+01,2.161041673724563683e+00,2.330098671653793030e+00
1.810889447236182250e+15,2.023501799135445367e+00,2.000000000000101963e+01,1.352650318821498310e+01,2.156012433633791137e+00,2.329255769026708389e+00
1.819957386934674750e+15,2.022915046564915276e+00,2.000000000000101963e+01,1.341054182881988233e+01,2.150967673196837460e+00,2.328382335602929842e+00
1.829025326633167250e+15,2.022310599469327119e+00,2.000000000000101963e+01,1.329806264060276177e+01,2.145924855417668198e+00,2.327480706503644914e+00
1.838093266331659750e+15,2.021690936179441067e+00,2.000000000000101963e+01,1.318707730695966518e+01,2.140882086866256362e+00,2.326557555555945900e+00
