rhoc,M,R,Lambda,I,Mb
1.180125628140703500e+15,1.771627150990202626e+00,1.137004315000005583e+01,5.871874069689440745e+01,1.827298403928236725e+00,2.028027493267794412e+00
1.191929648241206000e+15,1.782646310448748661e+00,1.135004325000005387e+01,5.523502507777090642e+01,1.839405960977187560e+00,2.043078638286185189e+00
1.203733668341708500e+15,1.793169837679532197e+00,1.133004335000005014e+01,5.207469674736919529e+01,1.850828223107622517e+00,2.057499613452757004e+00
1.215537688442211000e+15,1.803221544796785203e+00,1.131004345000004818e+01,4.919512049246095842e+01,1.861594551109863716e+00,2.071318432700821610e+00
1.227341708542713500e+15,1.812818542808726674e+00,1.129004355000004622e+01,4.656860437826362187e+01,1.871718941063667208e+00,2.084555040460417175e+00
1.239145728643216000e+15,1.821991117352712575e+00,1.127004365000004427e+01,4.416405319779265426e+01,1.881257081088009819e+00,2.097244929381543610e+00
1.250949748743718500e+15,1.831308275401012375e+00,1.125004375000004231e+01,4.182247959308461560e+01,1.890769494971771270e+00,2.110177164714686526e+00
1.262753768844221000e+15,1.840730547562014818e+00,1.123004385000004035e+01,3.955092610691232835e+01,1.900212399798879126e+00,2.123297948414269776e+00
1.274557788944723500e+15,1.849708476644175814e+00,1.121004395000003662e+01,3.747581087914397102e+01,1.909030848166690442e+00,2.135840677134357879e+00
1.286361809045226000e+15,1.858270493423206382e+00,1.119004405000003466e+01,3.557511554401030196e+01,1.917272807140263380e+00,2.147839339244718371e+00
1.298165829145728500e+15,1.866439933689822306e+00,1.117004415000003270e+01,3.382895533463227622e+01,1.924970581111345114e+00,2.159322231912782719e+00
1.309969849246231000e+15,1.874240624439577285e+00,1.115004425000003074e+01,3.222341274273023259e+01,1.932170087610972198e+00,2.170317922224457963e+00
1.321773869346733500e+15,1.881676474477583128e+00,1.113004435000002879e+01,3.074379541005112060e+01,1.938853192734632636e+00,2.180832102034653275e+00
1.333577889447236000e+15,1.889167924505975371e+00,1.111004445000002683e+01,2.929781579141500458e+01,1.945413720497200183e+00,2.191455099067230350e+00
1.345381909547738500e+15,1.896728138633917204e+00,1.109004455000002487e+01,2.788975420385753878e+01,1.951840821265909520e+00,2.202208602508789692e+00
1.357185929648241000e+15,1.903921209575983431e+00,1.107004465000002114e+01,2.658947492175115457e+01,1.957757302136179156e+00,2.212471054116159852e+00
1.368989949748743750e+15,1.910772860221327862e+00,1.105004475000001918e+01,2.539066807159244377e+01,1.963214996771811993e+00,2.222274169953173395e+00
1.380793969849246250e+15,1.917307082319586575e+00,1.103004485000001722e+01,2.428126290732743797e+01,1.968252878160552610e+00,2.231647364477872930e+00
