rhoc,M,R,Lambda,I,Mb
2.090934673366834000e+15,2.536400933086935705e+00,1.162004190000008386e+01,2.610602008479458114e+00,3.287162412931445399e+00,2.977538624493529351e+00
2.106492462311557750e+15,2.532112071659085473e+00,1.160004200000008190e+01,2.603338400976375588e+00,3.269308233077434789e+00,2.970255906415121050e+00
2.122050251256281250e+15,2.527880805424977062e+00,1.159004205000007914e+01,2.596772786606121652e+00,3.251802574671280421e+00,2.963073975965145657e+00
2.137608040201005000e+15,2.523586564683703681e+00,1.157004215000007719e+01,2.590397180648333020e+00,3.234147045115904451e+00,2.955794683135185341e+00
2.153165829145728500e+15,2.519335963628821951e+00,1.155004225000007523e+01,2.584535699984066515e+00,3.216774621581950822e+00,2.948587270256479709e+00
2.168723618090452250e+15,2.515135002745634729e+00,1.154004230000007425e+01,2.579090642989316784e+00,3.199709003969771537e+00,2.941466871717924203e+00
2.184281407035175750e+15,2.510991656880843248e+00,1.152004240000007229e+01,2.574119184220801770e+00,3.182972646259980998e+00,2.934438375719566672e+00
2.199839195979899500e+15,2.506843620676782791e+00,1.150004250000007033e+01,2.569468738429538490e+00,3.166313656339408311e+00,2.927399523553018135e+00
2.215396984924623000e+15,2.502682977567554090e+00,1.149004255000006935e+01,2.565087853109833560e+00,3.149698998635866776e+00,2.920354683184528621e+00
2.230954773869346500e+15,2.498580021409043894e+00,1.147004265000006562e+01,2.561116950419003224e+00,3.133408724376739229e+00,2.913408592675673425e+00
2.246512562814070250e+15,2.494533691359569705e+00,1.146004270000006464e+01,2.557505383053311210e+00,3.117431763446822046e+00,2.906552800618384058e+00
2.262070351758794000e+15,2.490503321564355499e+00,1.144004280000006268e+01,2.554163877102531899e+00,3.101599668374750429e+00,2.899726862042605546e+00
2.277628140703517500e+15,2.486444808664376005e+00,1.143004285000006170e+01,2.551161532284653255e+00,3.085749238073861367e+00,2.892857970616270702e+00
2.293185929648241000e+15,2.482443863574983034e+00,1.141004295000005975e+01,2.548496524180611456e+00,3.070205967802854374e+00,2.886085156719812694e+00
2.308743718592965000e+15,2.478491333392187634e+00,1.140004300000005877e+01,2.546296938075384375e+00,3.054931358623808269e+00,2.879401771808785870e+00
2.324301507537688000e+15,2.474592565169818403e+00,1.138004310000005681e+01,2.544038703271289670e+00,3.039942326367885084e+00,2.872798239755595784e+00
2.339859296482412000e+15,2.470636625878326775e+00,1.137004315000005583e+01,2.542283136093837381e+00,3.024812100778443646e+00,2.866109353846369334e+00
2.355417085427135500e+15,2.466735888746903527e+00,1.135004325000005387e+01,2.540781846159576141e+00,3.009969238788698043e+00,2.859509893419401649e+00
2.370974874371859000e+15,2.462879399854696505e+00,1.134004330000005112e+01,2.539522118488382940e+00,2.995369937920211445e+00,2.852994213594894024e+00
2.386532663316583000e+15,2.459072578281198851e+00,1.133004335000005014e+01,2.538543118472585736e+00,2.981029307725838517e+00,2.846562885224798389e+00
2.402090452261306500e+15,2.455255065216539911e+00,1.131004345000004818e+01,2.537756325420264858e+00,2.966717530174033168e+00,2.840106548179811785e+00
2.417648241206030000e+15,2.451446402280831105e+00,1.130004350000004720e+01,2.537377842537927197e+00,2.952512573923958605e+00,2.833685283763077933e+00
2.433206030150754000e+15,2.447703264064071682e+00,1.129004355000004622e+01,2.537141198220651539e+00,2.938618599091314287e+00,2.827357613527771818e+00
2.448763819095477000e+15,2.444001373078318551e+00,1.127004365000004427e+01,2.537225792241128541e+00,2.924942652494323614e+00,2.821109070380320105e+00
2.464321608040201000e+15,2.440293970851005412e+00,1.126004370000004329e+01,2.537191802841492816e+00,2.911309290674306105e+00,2.814859807088387900e+00
2.479879396984924500e+15,2.436592031676789727e+00,1.125004375000004231e+01,2.537690904916914736e+00,2.897762856443461210e+00,2.808624021792366587e+00
2.495437185929648000e+15,2.432947470007337021e+00,1.124004380000004133e+01,2.538458916641312957e+00,2.884486913678454556e+00,2.802472028887496247e+00
2.510994974874371500e+15,2.429347096035977316e+00,1.122004390000003937e+01,2.539336986097893156e+00,2.871433053688409398e+00,2.796403535996291545e+00
2.526552763819095500e+15,2.425773996645830266e+00,1.121004395000003662e+01,2.540271668656821191e+00,2.858534536085493016e+00,2.790379117927801467e+00
2.542110552763819000e+15,2.422167258266215928e+00,1.120004400000003564e+01,2.541469541705408730e+00,2.845574471039104214e+00,2.784313025187197255e+00
2.557668341708542500e+15,2.418619542349971230e+00,1.119004405000003466e+01,2.543114493272322196e+00,2.832885412645189227e+00,2.778336239598563573e+00
2.573226130653266000e+15,2.415108150217032179e+00,1.118004410000003368e+01,2.544542028712257320e+00,2.820377504181671213e+00,2.772431475465876094e+00
2.588783919597990000e+15,2.411645447455064151e+00,1.116004420000003172e+01,2.546559404979836128e+00,2.808101114215519445e+00,2.766608098506314839e+00
2.604341708542713500e+15,2.408150582354040115e+00,1.115004425000003074e+01,2.548576382413931363e+00,2.795761750162364390e+00,2.760729051049815919e+00
2.619899497487437000e+15,2.404702581508223691e+00,1.114004430000002976e+01,2.550832920375613710e+00,2.783643407566092076e+00,2.754930707890274277e+00
2.635457286432160500e+15,2.401297025238050775e+00,1.113004435000002879e+01,2.553268861840263249e+00,2.771723090782615806e+00,2.749200671704209231e+00
2.651015075376884500e+15,2.397930817983681351e+00,1.112004440000002781e+01,2.555674197142813853e+00,2.759988959551810783e+00,2.743550071300782101e+00
2.666572864321608000e+15,2.394550051845722560e+00,1.111004445000002683e+01,2.558279215388357564e+00,2.748253889336233602e+00,2.737877958795591038e+00
2.682130653266331500e+15,2.391193791284010217e+00,1.110004450000002585e+01,2.561308294214960313e+00,2.736654259756033714e+00,2.732242091049954524e+00
2.697688442211055000e+15,2.387879377907559775e+00,1.109004455000002487e+01,2.564304385090815153e+00,2.725244945171399813e+00,2.726679682348662759e+00
2.713246231155779000e+15,2.384614339652751269e+00,1.108004460000002211e+01,2.567524552048061182e+00,2.714053278385268442e+00,2.721197536320703048e+00
