rhoc,M,R,Lambda,I,Mb
7.629527638190955000e+14,1.713465030370862285e+00,1.256003720000018831e+01,1.920012405406637299e+02,2.099724982116846661e+00,1.940224176884769447e+00
7.703356783919597500e+14,1.737359526789787445e+00,1.256003720000018831e+01,1.745925369592710297e+02,2.142518901612980198e+00,1.971362086578402062e+00
7.777185929648241250e+14,1.760648117841406624e+00,1.256003720000018831e+01,1.591660181341212592e+02,2.184418448165712956e+00,2.001853633456964321e+00
7.851015075376885000e+14,1.782994072064618907e+00,1.255003725000018733e+01,1.456461088201294274e+02,2.224789590557131547e+00,2.031246031459450929e+00
7.924844221105527500e+14,1.804434221257203763e+00,1.255003725000018733e+01,1.337558630024223021e+02,2.263657301326686966e+00,2.059573335506908354e+00
7.998673366834170000e+14,1.825019227941059974e+00,1.255003725000018733e+01,1.232510128893031833e+02,2.301103115194995219e+00,2.086888920481204224e+00
8.072502512562813750e+14,1.844777840310906081e+00,1.254003730000018635e+01,1.139344016302824940e+02,2.337135503164902595e+00,2.113220030148186268e+00
8.146331658291457500e+14,1.863744853483816799e+00,1.254003730000018635e+01,1.056414342244833193e+02,2.371793354212451188e+00,2.138600983556214530e+00
8.220160804020100000e+14,1.881971250912380489e+00,1.254003730000018635e+01,9.822695576343812718e+01,2.405166770279904664e+00,2.163089598921206669e+00
8.293989949748743750e+14,1.899461349261620358e+00,1.253003735000018537e+01,9.158326910412628763e+01,2.437204796197756984e+00,2.186684371661032689e+00
8.367819095477386250e+14,1.919153473915349739e+00,1.253003735000018537e+01,8.461590170107433551e+01,2.473307767614577823e+00,2.213362185113545433e+00
8.441648241206030000e+14,1.938278340955713608e+00,1.252003740000018439e+01,7.833606820005957161e+01,2.508412199215232619e+00,2.239383344077690463e+00
8.515477386934672500e+14,1.956595798056579349e+00,1.251003745000018341e+01,7.273607375832924049e+01,2.542043550229670323e+00,2.264414062368048430e+00
8.589306532663316250e+14,1.974158316508922928e+00,1.250003750000018243e+01,6.772670327107465482e+01,2.574305908288783584e+00,2.288511685604562196e+00
8.663135678391960000e+14,1.991001378416412004e+00,1.250003750000018243e+01,6.322735198749433039e+01,2.605246635413136502e+00,2.311714374321907073e+00
8.736964824120602500e+14,2.007143498425142170e+00,1.249003755000017968e+01,5.917565959443534496e+01,2.634868737364702174e+00,2.334041583737088033e+00
8.810793969849246250e+14,2.022631026927453224e+00,1.248003760000017870e+01,5.551061931872897759e+01,2.663260636766698664e+00,2.355544522367956972e+00
