rhoc,R,M,Lambda,I,Mb
1.200658291457287500e+15,1.130004350000004720e+01,1.786068978194987666e+00,4.419341114980399254e+01,1.837468267795357768e+00,2.048361780434668322e+00
1.209959798994976000e+15,1.129004355000004622e+01,1.794184580905475279e+00,4.228385355216610009e+01,1.846267649253514387e+00,2.059490043245226776e+00
1.219261306532664250e+15,1.127004365000004427e+01,1.802099475255328542e+00,4.048250285024578687e+01,1.854743889833840642e+00,2.070376771429342622e+00
1.228562814070352750e+15,1.126004370000004329e+01,1.809964338766783420e+00,3.875768037050232806e+01,1.863072907940942047e+00,2.081219529751883179e+00
1.237864321608041000e+15,1.124004380000004133e+01,1.817552325636741184e+00,3.714817641643760027e+01,1.871021024432653501e+00,2.091706012400566639e+00
1.247165829145729500e+15,1.123004385000004035e+01,1.824937177615672645e+00,3.563429344368005758e+01,1.878658151212249550e+00,2.101937195052578922e+00
1.256467336683418000e+15,1.121004395000003662e+01,1.832264033493090638e+00,3.417662756682726410e+01,1.886111780681443362e+00,2.112115451271895150e+00
1.265768844221106500e+15,1.119004405000003466e+01,1.839326373629871503e+00,3.281630093369177104e+01,1.893194522423143900e+00,2.121952504201164658e+00
1.275070351758795000e+15,1.118004410000003368e+01,1.846216826171937386e+00,3.152831194425535344e+01,1.900005547118730931e+00,2.131571402300540097e+00
1.284371859296483500e+15,1.116004420000003172e+01,1.853064316128942624e+00,3.029279861080188141e+01,1.906715530979316675e+00,2.141148052129725698e+00
1.293673366834172000e+15,1.115004425000003074e+01,1.859632372268038125e+00,2.913173604525088223e+01,1.912996238950092076e+00,2.150361772393676763e+00
1.302974874371860500e+15,1.113004435000002879e+01,1.866057113666199863e+00,2.803245464638104067e+01,1.919049509509709317e+00,2.159397076074509148e+00
1.312276381909548750e+15,1.112004440000002781e+01,1.872403480666403830e+00,2.697792430459574575e+01,1.924927481619339131e+00,2.168340503677362641e+00
1.321577889447237250e+15,1.110004450000002585e+01,1.878510980058735180e+00,2.598815036210207907e+01,1.930466437961134929e+00,2.176968961079347231e+00
1.330879396984925750e+15,1.108004460000002211e+01,1.884451153252905131e+00,2.504651745497237414e+01,1.935721186117812298e+00,2.185383280424489261e+00
