rhoc,M,R,Lambda,I,Mb
2.402090452261309000e+15,2.443735972265201450e+00,1.130004350000004720e+01,1.942923179237481701e+00,2.927277400127336726e+00,2.796551721684431779e+00
2.417648241206032500e+15,2.439986829594567475e+00,1.129004355000004622e+01,1.942728614247177354e+00,2.913424664572781708e+00,2.790287179942355866e+00
2.433206030150756000e+15,2.436248067894486891e+00,1.127004365000004427e+01,1.942541958964697280e+00,2.899671529285543059e+00,2.784046882780585097e+00
2.448763819095480000e+15,2.432550821549178455e+00,1.126004370000004329e+01,1.942976134714399006e+00,2.886139475786566155e+00,2.777869104489323338e+00
2.464321608040203500e+15,2.428870702423630235e+00,1.125004375000004231e+01,1.943264532092682018e+00,2.872732111392449550e+00,2.771730156779952381e+00
2.479879396984927000e+15,2.425211360350044920e+00,1.124004380000004133e+01,1.943696284132551355e+00,2.859463544979116367e+00,2.765632903201293846e+00
2.495437185929650500e+15,2.421593342110590630e+00,1.122004390000003937e+01,1.944386110260678091e+00,2.846408201844290886e+00,2.759598563245329483e+00
2.510994974874374500e+15,2.417984385381102275e+00,1.121004395000003662e+01,1.945245521111650833e+00,2.833438659902404400e+00,2.753583026352736329e+00
2.526552763819098000e+15,2.414425600880883760e+00,1.120004400000003564e+01,1.945987090648387596e+00,2.820713492713285309e+00,2.747650298832251092e+00
2.542110552763821500e+15,2.410874058547495480e+00,1.119004405000003466e+01,1.947318272477066126e+00,2.808070622068417510e+00,2.741735278407390730e+00
2.557668341708545000e+15,2.407356773723936083e+00,1.117004415000003270e+01,1.948554296857712309e+00,2.795600752848641957e+00,2.735882571099278682e+00
2.573226130653269000e+15,2.403860833635432570e+00,1.116004420000003172e+01,1.949883089853982732e+00,2.783265704838711496e+00,2.730057486439787962e+00
2.588783919597992500e+15,2.400398517916512375e+00,1.115004425000003074e+01,1.951376384470509873e+00,2.771098952663285875e+00,2.724296160286682422e+00
2.604341708542716000e+15,2.396946364443637290e+00,1.114004430000002976e+01,1.953319941899965828e+00,2.759023176499422192e+00,2.718553119897003434e+00
2.619899497487440000e+15,2.393536123889199452e+00,1.113004435000002879e+01,1.954741962998125526e+00,2.747146076370476031e+00,2.712884475885541491e+00
2.635457286432163500e+15,2.390127423294996500e+00,1.112004440000002781e+01,1.956928481038495038e+00,2.735319886255527244e+00,2.707221349280351852e+00
2.651015075376887000e+15,2.386769113357094074e+00,1.111004445000002683e+01,1.958489852199956083e+00,2.723723992528610083e+00,2.701639268313877018e+00
2.666572864321610500e+15,2.383422462396531216e+00,1.110004450000002585e+01,1.960822017512010351e+00,2.712213726338629449e+00,2.696079676137944858e+00
2.682130653266334500e+15,2.380103731416364887e+00,1.109004455000002487e+01,1.963026336890572932e+00,2.700846819407351163e+00,2.690571657071137768e+00
2.697688442211058000e+15,2.376803980070234967e+00,1.108004460000002211e+01,1.965344379097117677e+00,2.689589472276376014e+00,2.685093678335270351e+00
2.713246231155781500e+15,2.373536000064758511e+00,1.106004470000002016e+01,1.967982919896639427e+00,2.678489089880370155e+00,2.679671364962898927e+00
2.728804020100505000e+15,2.370290936319840558e+00,1.105004475000001918e+01,1.970676630160062448e+00,2.667506862216010521e+00,2.674289015924310675e+00
2.744361809045229000e+15,2.367071353847999937e+00,1.104004480000001820e+01,1.973113861052941065e+00,2.656658754237602782e+00,2.668951554796437975e+00
2.759919597989952500e+15,2.363884821533919212e+00,1.103004485000001722e+01,1.976249562473453070e+00,2.645964086566618967e+00,2.663671192052166958e+00
2.775477386934676000e+15,2.360711291956503644e+00,1.102004490000001624e+01,1.979021699519809552e+00,2.635353533628416844e+00,2.658412313757001488e+00
2.791035175879399500e+15,2.357574113498254853e+00,1.102004490000001624e+01,1.981932852052240346e+00,2.624906672886108794e+00,2.653218371341408144e+00
2.806592964824123500e+15,2.354444853924469339e+00,1.101004495000001526e+01,1.984889236426660819e+00,2.614525477633059314e+00,2.648035603725778842e+00
2.822150753768847000e+15,2.351352847043841177e+00,1.100004500000001428e+01,1.988250070598601926e+00,2.604307252985829990e+00,2.642921247072061774e+00
2.837708542713570500e+15,2.348258985517019948e+00,1.099004505000001330e+01,1.991310684568794009e+00,2.594118057155803569e+00,2.637809855693797001e+00
2.853266331658294500e+15,2.345226944731181096e+00,1.098004510000001233e+01,1.995000548547723351e+00,2.584177813541573610e+00,2.632785625596203882e+00
2.868824120603018000e+15,2.342171214892441622e+00,1.097004515000001135e+01,1.998417261755640384e+00,2.574193005337134910e+00,2.627742491132461833e+00
2.884381909547741500e+15,2.339157356628794204e+00,1.096004520000001037e+01,2.001881823043209607e+00,2.564383316986086125e+00,2.622761939507880946e+00
2.899939698492465000e+15,2.336179493432473997e+00,1.095004525000000761e+01,2.005892377630177137e+00,2.554726348717709428e+00,2.617844699150062571e+00
2.915497487437189000e+15,2.333233298650944310e+00,1.094004530000000663e+01,2.009257614480667531e+00,2.545203718905084678e+00,2.612979268232589636e+00
2.931055276381912500e+15,2.330291036377676761e+00,1.093004535000000566e+01,2.013426588528353989e+00,2.535730358441332655e+00,2.608126707686481360e+00
2.946613065326636000e+15,2.327365566028088306e+00,1.092004540000000468e+01,2.017074942848377184e+00,2.526348882563633325e+00,2.603301271134962125e+00
2.962170854271359500e+15,2.324472189181693960e+00,1.092004540000000468e+01,2.021232778486706572e+00,2.517099974101077997e+00,2.598529177093581222e+00
