rhoc,M,R,Lambda,I,Mb
3.600190954773873125e+14,7.293253731198396927e-01,1.346003270000028884e+01,2.858096055232707658e+04,7.541682163586590493e-01,7.608682739715936227e-01
3.690870351758798125e+14,7.616699785650871135e-01,1.347003265000028982e+01,2.316127568321487342e+04,8.008702419242261783e-01,7.963517060451417162e-01
3.781549748743723125e+14,7.941250274494181527e-01,1.349003255000029178e+01,1.888307674508813579e+04,8.484143622797700734e-01,8.321137799367311905e-01
3.872229145728647500e+14,8.266876526192231678e-01,1.351003245000029374e+01,1.548708835032835486e+04,8.967954123581974857e-01,8.681540811753319931e-01
3.962908542713572500e+14,8.592852664541390517e-01,1.353003235000029747e+01,1.277171260670582160e+04,9.458795373425032960e-01,9.043951407826482658e-01
4.053587939698497500e+14,8.918780740084264469e-01,1.355003225000029943e+01,1.059016823372234103e+04,9.955785497315225996e-01,9.407950867223844327e-01
4.144267336683422500e+14,9.244704441181174071e-01,1.356003220000030041e+01,8.824166943368220018e+03,1.045879869973892706e+00,9.773607066127217857e-01
4.234946733668347500e+14,9.570243942366690737e-01,1.358003210000030236e+01,7.388808492881324128e+03,1.096710241696934540e+00,1.014050922157376800e+00
4.325626130653272500e+14,9.894814060152122837e-01,1.360003200000030432e+01,6.217251500181007032e+03,1.147946934550317488e+00,1.050800863886667713e+00
4.416305527638197500e+14,1.021811443335542746e+00,1.361003195000030530e+01,5.254228161692575668e+03,1.199508962320011030e+00,1.087578297288958940e+00
4.506984924623122500e+14,1.054034236090086951e+00,1.362003190000030628e+01,4.459212031996131373e+03,1.251417449543751337e+00,1.124403918360554089e+00
4.597664321608046875e+14,1.086072070432332115e+00,1.364003180000030824e+01,3.800383609334953690e+03,1.303503946326739937e+00,1.161190530596889925e+00
4.688343718592971875e+14,1.117908877142177460e+00,1.365003175000031099e+01,3.252272100024234987e+03,1.355732441584021286e+00,1.197918403490835670e+00
4.779023115577896875e+14,1.149514243510885825e+00,1.366003170000031197e+01,2.793574494860507002e+03,1.408007726111506486e+00,1.234552361184566571e+00
4.869702512562821250e+14,1.180896436990204634e+00,1.367003165000031295e+01,2.408595965214856278e+03,1.460330884420033559e+00,1.271099237238835666e+00
4.960381909547746250e+14,1.211994482641982396e+00,1.367003165000031295e+01,2.084437345723072212e+03,1.512564192028439836e+00,1.307487613840386143e+00
5.051061306532671250e+14,1.242665831576809987e+00,1.368003160000031393e+01,1.810868171829645007e+03,1.564435275738471187e+00,1.343547413864127460e+00
5.141740703517596250e+14,1.268380450031811879e+00,1.369003155000031491e+01,1.611785100166641314e+03,1.608159615726519442e+00,1.373911569630856366e+00
5.232420100502521250e+14,1.291309406036000640e+00,1.369003155000031491e+01,1.454191814063281754e+03,1.647247227888200438e+00,1.401088238664903951e+00
5.323099497487446250e+14,1.313138174192881591e+00,1.369003155000031491e+01,1.319254358837288919e+03,1.684455349403572777e+00,1.427053199215474466e+00
5.413778894472370625e+14,1.334161676352017212e+00,1.369003155000031491e+01,1.201505285749205541e+03,1.720229826422331243e+00,1.452142667640064388e+00
5.504458291457295625e+14,1.354549701196844591e+00,1.369003155000031491e+01,1.097755746751396146e+03,1.754840016213763398e+00,1.476552593473764663e+00
5.595137688442220625e+14,1.374364878691789249e+00,1.369003155000031491e+01,1.005670440276134968e+03,1.788335388009546723e+00,1.500352486444373579e+00
5.685817085427145000e+14,1.393664931580302024e+00,1.369003155000031491e+01,9.234481339211718023e+02,1.820796453773054324e+00,1.523605945442574550e+00
5.776496482412070000e+14,1.412491876302794269e+00,1.369003155000031491e+01,8.498290480634183268e+02,1.852280984880516401e+00,1.546358594846296786e+00
5.867175879396995000e+14,1.430891292278027471e+00,1.368003160000031393e+01,7.834050279756834243e+02,1.882842537549696216e+00,1.568661186656902018e+00
5.957855276381920000e+14,1.448877991434640800e+00,1.368003160000031393e+01,7.235266598213663656e+02,1.912510255662542846e+00,1.590527278487777085e+00
6.048534673366845000e+14,1.466468770681382150e+00,1.367003165000031295e+01,6.692481061497389874e+02,1.941283386084830864e+00,1.611976108090901194e+00
6.139214070351770000e+14,1.483684021332028147e+00,1.366003170000031197e+01,6.199790963347265915e+02,1.969199760697791346e+00,1.633025977415456076e+00
6.229893467336695000e+14,1.500553942599232693e+00,1.365003175000031099e+01,5.751474233562951213e+02,1.996318897974200146e+00,1.653711829254064236e+00
6.320572864321620000e+14,1.517068883595171336e+00,1.365003175000031099e+01,5.342909167174059348e+02,2.022598246939196098e+00,1.674020322358325874e+00
6.411252261306545000e+14,1.533250193766013680e+00,1.364003180000030824e+01,4.968869096202768674e+02,2.048094675338875792e+00,1.693972080308573158e+00
6.501931658291470000e+14,1.549116909910565720e+00,1.362003190000030628e+01,4.626692699566413012e+02,2.072827070765345336e+00,1.713591629622174706e+00
6.592611055276395000e+14,1.564666571769401493e+00,1.361003195000030530e+01,4.313093126497229264e+02,2.096792950243637321e+00,1.732870458951985881e+00
6.683290452261320000e+14,1.579912993057117410e+00,1.360003200000030432e+01,4.025245078101568197e+02,2.120031582448101748e+00,1.751823700419754104e+00
6.773969849246245000e+14,1.594854248209137682e+00,1.359003205000030334e+01,3.760442250663295454e+02,2.142530290995090514e+00,1.770446804453007283e+00
6.864649246231168750e+14,1.609474175868072621e+00,1.357003215000030139e+01,3.516721069510488178e+02,2.164268269873462991e+00,1.788718753353638613e+00
6.955328643216093750e+14,1.623175198971350985e+00,1.356003220000030041e+01,3.302056553809597972e+02,2.184389489868895584e+00,1.805885167915779910e+00
7.046008040201018750e+14,1.636183102330897254e+00,1.355003225000029943e+01,3.109460600497440055e+02,2.203228724170881669e+00,1.822224266176546648e+00
7.136687437185943750e+14,1.648689683461268318e+00,1.353003235000029747e+01,2.933706627546899313e+02,2.221093326993770489e+00,1.837969304971673434e+00
7.227366834170868750e+14,1.660768049172142824e+00,1.352003240000029471e+01,2.772588528807489752e+02,2.238088310430926153e+00,1.853209510910897917e+00
